DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000001,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,OVCAR3,905933.0,Female,ATCC,,,,,,CVCL_0465,2201.0,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00105,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905938.0,Female,ATCC,,,,,,CVCL_0002,55.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",35,SIDM00829,,blood,AML,M3,
ACH-000003,CACO2,CACO2,CACO2_LARGE_INTESTINE,"CACO2, CaCo-2",,Male,ATCC,,,,,,CVCL_0025,,Colon,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00891,,colorectal,colorectal_adenocarcinoma,,
ACH-000004,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907053.0,Male,DSMZ,2.0,-3.079202028,Suspension,RPMI + 10% FBS,52.4,CVCL_0001,783.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00594,,blood,AML,M6,
ACH-000005,HEL 92.1.7,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,2.0,-2.404409173,Suspension,RPMI + 10% FBS,86.6,CVCL_2481,,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00593,,blood,AML,M6,
ACH-000006,MONO-MAC-6,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908148.0,Male,DSMZ,,,,,,CVCL_1426,2167.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",64,SIDM01023,,blood,AML,M5,
ACH-000007,LS513,LS513,LS513_LARGE_INTESTINE,,907795.0,Male,ATCC,2.0,-2.586707623,Adherent,RPMI + 10% FBS,47.7,CVCL_1386,569.0,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,63,SIDM00677,,colorectal,colorectal_adenocarcinoma,,
ACH-000008,A101D,A101D,A101D_SKIN,,910921.0,Male,ATCC,,,,,,CVCL_1057,1806.0,skin,,Skin Cancer,Melanoma,56,SIDM00801,,skin,melanoma,,
ACH-000009,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,,910700.0,Male,ATCC,3.0,-4.135491417,Adherent,DMEM + 10% FBS + Glutamine + Insulin-Transferrin-Selenium,94.2,CVCL_1096,2104.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,72,SIDM01233,,colorectal,colorectal_adenocarcinoma,,
ACH-000010,NCI-H2077,NCIH2077,NCIH2077_LUNG,NCI-H1581,,Male,Academic lab,,,,,,CVCL_5157,,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000011,253J,253J,253J_URINARY_TRACT,,,Male,KCLB,1.0,-3.18037938,,DMEM + 10% FBS,89.0,CVCL_7935,,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53,,,urinary_tract,bladder_carcinoma,,
ACH-000012,HCC827,HCC827,HCC827_LUNG,,1240146.0,Female,ATCC,3.0,-4.242997806,Adherent,RPMI + 10% FBS,87.3,CVCL_2063,354.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,SIDM01067,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000013,ONCO-DG-1,ONCODG1,ONCODG1_OVARY,,,Female,DSMZ,2.0,-5.319862199,,RPMI + 10% FBS,92.0,CVCL_1882,,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00093,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000014,Hs 294T,HS294T,HS294T_SKIN,"A101D, Hs 294.T",,Male,ATCC,2.0,-3.484986488,Adherent,DMEM + 10% FBS,84.9,CVCL_0331,,lymph_node,Metastasis,Skin Cancer,Melanoma,56,SIDM00800,,skin,melanoma,,
ACH-000015,NCI-H1581,NCIH1581,NCIH1581_LUNG,NCI-H2077,908471.0,Male,ATCC,2.0,-4.226156938,Mixed adherent and suspension,DMEM:F12 (1:1) + 5% FBS,47.2,CVCL_1479,1237.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",44,SIDM00748,,lung,NSCLC,NSCLC_large_cell,
ACH-000016,SLR 21,SLR21,SLR21_KIDNEY,,,Unknown,Academic lab,,,,,,CVCL_V607,,kidney,Metastasis,Kidney Cancer,Renal Cell Carcinoma,,,,kidney,renal_cell_carcinoma,,
ACH-000017,SK-BR-3,SKBR3,SKBR3_BREAST,,,Female,ATCC,2.0,-2.932250062,Adherent,McCoy's 5A + 10% FBS,72.9,CVCL_0033,,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,43,SIDM00897,,breast,breast_carcinoma,ERneg_HER2pos,HER2_amp
ACH-000018,T24,T24,T24_URINARY_TRACT,,724812.0,Female,ATCC,2.0,-2.9456912219999998,Adherent,McCoy's 5A + 10% FBS,65.2,CVCL_0554,1455.0,urinary_tract,Primary,Bladder Cancer,Carcinoma,81,SIDM01184,,urinary_tract,bladder_carcinoma,,
ACH-000019,MCF7,MCF7,MCF7_BREAST,,905946.0,Female,ATCC,2.0,-2.4936754519999997,Adherent,EMEM + 10% FBS + 0.01mg/ml Insulin (Bovine),65.0,CVCL_0031,588.0,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,69,SIDM00148,,breast,breast_carcinoma,ERpos_HER2neg,luminal
ACH-000020,MHH-CALL-2,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908132.0,Female,DSMZ,,,,,,CVCL_1409,1906.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",15,SIDM00331,,blood,ALL,b_cell,
ACH-000021,NCI-H1693,NCIH1693,NCIH1693_LUNG,,687802.0,Female,ATCC,4.0,-3.650513454,Adherent,RPMI + 10% FBS,85.9,CVCL_1488,634.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55,SIDM00742,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000022,PA-TU-8988S,PATU8988S,PATU8988S_PANCREAS,,,Female,DSMZ,2.0,-4.872597074,Adherent,DMEM + 10% FBS + 2mM Glutamax,93.7,CVCL_1846,,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,SIDM00452,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000023,PA-TU-8988T,PATU8988T,PATU8988T_PANCREAS,,1240201.0,Female,DSMZ,,,,,,CVCL_1847,1242.0,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,SIDM00453,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000024,OPM-2,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909249.0,Female,DSMZ,2.0,-3.992180718,Suspension,RPMI + 10% FBS,71.9,CVCL_1625,112.0,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,56,SIDM00457,,plasma_cell,multiple_myeloma,,
ACH-000025,CH-157MN,CH157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,2.0,-4.186946841,not found,not found,92.8,CVCL_5723,,central_nervous_system,,Brain Cancer,Meningioma,,,,central_nervous_system,meningioma,,
ACH-000026,253J-BV,253JBV,253JBV_URINARY_TRACT,,,Male,KCLB,0.0,-1.6854705369999998,Adherent,DMEM + 10% FBS,89.0,CVCL_7937,,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53,,,urinary_tract,bladder_carcinoma,,
